step 3360 used 53693124K, path: <PathGroup with 5749 deadended, 21 active>
step 3370 used 53875660K, path: <PathGroup with 5764 deadended, 22 active>
step 3380 used 54059908K, path: <PathGroup with 5782 deadended, 23 active>
step 3390 used 54247044K, path: <PathGroup with 5802 deadended, 19 active>
step 3400 used 54431576K, path: <PathGroup with 5819 deadended, 21 active>
step 3410 used 54614916K, path: <PathGroup with 5834 deadended, 22 active>
step 3420 used 54799636K, path: <PathGroup with 5852 deadended, 23 active>
step 3430 used 54987240K, path: <PathGroup with 5872 deadended, 19 active>
step 3440 used 55172292K, path: <PathGroup with 5889 deadended, 21 active>
step 3450 used 55355284K, path: <PathGroup with 5904 deadended, 22 active>
step 3460 used 55539532K, path: <PathGroup with 5922 deadended, 23 active>
step 3470 used 55727616K, path: <PathGroup with 5942 deadended, 19 active>
step 3480 used 55912708K, path: <PathGroup with 5959 deadended, 21 active>
step 3490 used 56066760K, path: <PathGroup with 5974 deadended, 22 active>
step 3500 used 56252548K, path: <PathGroup with 5992 deadended, 23 active>
step 3510 used 56439700K, path: <PathGroup with 6012 deadended, 19 active>
step 3520 used 56625088K, path: <PathGroup with 6029 deadended, 21 active>
step 3530 used 56808620K, path: <PathGroup with 6044 deadended, 22 active>
step 3540 used 56993664K, path: <PathGroup with 6062 deadended, 23 active>
step 3550 used 57181508K, path: <PathGroup with 6082 deadended, 19 active>
step 3560 used 57367400K, path: <PathGroup with 6099 deadended, 21 active>
step 3570 used 57552012K, path: <PathGroup with 6114 deadended, 22 active>
step 3580 used 57737500K, path: <PathGroup with 6132 deadended, 23 active>
step 3590 used 57922724K, path: <PathGroup with 6152 deadended, 19 active>
step 3600 used 58108624K, path: <PathGroup with 6169 deadended, 21 active>
step 3610 used 58292624K, path: <PathGroup with 6184 deadended, 22 active>
step 3620 used 58477652K, path: <PathGroup with 6202 deadended, 23 active>
step 3630 used 58666460K, path: <PathGroup with 6222 deadended, 19 active>
step 3640 used 58821620K, path: <PathGroup with 6239 deadended, 21 active>
step 3650 used 59004992K, path: <PathGroup with 6254 deadended, 22 active>
step 3660 used 59190356K, path: <PathGroup with 6272 deadended, 23 active>
step 3670 used 59378748K, path: <PathGroup with 6292 deadended, 19 active>
step 3680 used 59565204K, path: <PathGroup with 6309 deadended, 21 active>
step 3690 used 59749696K, path: <PathGroup with 6324 deadended, 22 active>
step 3700 used 59934608K, path: <PathGroup with 6342 deadended, 23 active>
step 3710 used 60123776K, path: <PathGroup with 6362 deadended, 19 active>
step 3720 used 60310524K, path: <PathGroup with 6379 deadended, 21 active>
step 3730 used 60495600K, path: <PathGroup with 6394 deadended, 22 active>
step 3740 used 60681840K, path: <PathGroup with 6412 deadended, 23 active>
step 3750 used 60870824K, path: <PathGroup with 6432 deadended, 19 active>
step 3760 used 61057852K, path: <PathGroup with 6449 deadended, 21 active>
step 3770 used 61243720K, path: <PathGroup with 6464 deadended, 22 active>
step 3780 used 61430188K, path: <PathGroup with 6482 deadended, 23 active>
step 3790 used 61619368K, path: <PathGroup with 6502 deadended, 19 active>
step 3800 used 61773848K, path: <PathGroup with 6519 deadended, 21 active>
step 3810 used 61958464K, path: <PathGroup with 6534 deadended, 22 active>
step 3820 used 62144628K, path: <PathGroup with 6552 deadended, 23 active>
step 3830 used 62333732K, path: <PathGroup with 6572 deadended, 19 active>
step 3840 used 62521316K, path: <PathGroup with 6589 deadended, 21 active>
step 3850 used 62706840K, path: <PathGroup with 6604 deadended, 22 active>
step 3860 used 62892764K, path: <PathGroup with 6622 deadended, 23 active>
step 3870 used 63082376K, path: <PathGroup with 6642 deadended, 19 active>
step 3880 used 63270496K, path: <PathGroup with 6659 deadended, 21 active>
step 3890 used 63456284K, path: <PathGroup with 6674 deadended, 22 active>
step 3900 used 63643332K, path: <PathGroup with 6692 deadended, 23 active>
step 3910 used 63833028K, path: <PathGroup with 6712 deadended, 19 active>
step 3920 used 64021160K, path: <PathGroup with 6729 deadended, 21 active>
step 3930 used 64208012K, path: <PathGroup with 6744 deadended, 22 active>
step 3940 used 64395276K, path: <PathGroup with 6762 deadended, 23 active>
step 3950 used 64585172K, path: <PathGroup with 6782 deadended, 19 active>
step 3960 used 64753524K, path: <PathGroup with 6799 deadended, 21 active>
step 3970 used 64926184K, path: <PathGroup with 6814 deadended, 22 active>
step 3980 used 65113128K, path: <PathGroup with 6832 deadended, 23 active>
step 3990 used 65302684K, path: <PathGroup with 6852 deadended, 19 active>
step 4000 used 65491368K, path: <PathGroup with 6869 deadended, 21 active>
step 4010 used 65677860K, path: <PathGroup with 6884 deadended, 22 active>
step 4020 used 65864596K, path: <PathGroup with 6902 deadended, 23 active>
step 4030 used 66054904K, path: <PathGroup with 6922 deadended, 19 active>
step 4040 used 66243896K, path: <PathGroup with 6939 deadended, 21 active>
step 4050 used 66430936K, path: <PathGroup with 6954 deadended, 22 active>
